code_commune,nom_standard,population,latitude_centre,longitude_centre
95539,Saint-Brice-sous-Forêt,15209,49.002,2.35
95541,Saint-Clair-sur-Epte,986,49.213,1.703
95543,Saint-Cyr-en-Arthies,237,49.059,1.742
95554,Saint-Gervais,891,49.167,1.762
95555,Saint-Gratien,20866,48.969,2.285
95563,Saint-Leu-la-Forêt,15979,49.02,2.247
95566,Saint-Martin-du-Tertre,2663,49.104,2.334
95572,Saint-Ouen-l'Aumône,25023,49.044,2.129
95574,Saint-Prix,7404,49.021,2.27
95580,Saint-Witz,2419,49.086,2.552
95582,Sannois,26768,48.972,2.253
95584,Santeuil,661,49.13,1.958
95585,Sarcelles,58424,48.99,2.382
95592,Seraincourt,1305,49.042,1.879
95594,Seugy,1045,49.123,2.395
95598,Soisy-sous-Montmorency,18008,48.988,2.3
95604,Survilliers,4216,49.106,2.544
95607,Taverny,27025,49.027,2.221
95610,Théméricourt,295,49.09,1.905
95611,Theuville,53,49.157,2.069
95612,Le Thillay,4589,49.004,2.469
95625,Us,1338,49.105,1.958
95627,Vallangoujard,607,49.134,2.104
95628,Valmondois,1215,49.098,2.18
95633,Vaudherland,100,49.0,2.486
95637,Vauréal,16034,49.03,2.024
95641,Vémars,2848,49.063,2.567
95651,Vétheuil,877,49.062,1.707
95652,Viarmes,5386,49.123,2.378
95656,Vienne-en-Arthies,368,49.066,1.722
95658,Vigny,1115,49.08,1.93
95660,Villaines-sous-Bois,775,49.075,2.357
95675,Villeron,1564,49.061,2.534
95676,Villers-en-Arthies,489,49.086,1.73
95678,Villiers-Adam,852,49.07,2.24
95680,Villiers-le-Bel,28836,49.008,2.404
95682,Villiers-le-Sec,196,49.074,2.387
95690,Wy-dit-Joli-Village,329,49.096,1.825
