code_commune,nom_standard,population,latitude_centre,longitude_centre
77275,Les Marêts,152,48.672,3.317
77276,Mareuil-lès-Meaux,3304,48.924,2.87
77277,Marles-en-Brie,1843,48.725,2.888
77278,Marolles-en-Brie,412,48.774,3.162
77279,Marolles-sur-Seine,1812,48.384,3.032
77280,Mary-sur-Marne,1114,49.016,3.033
77281,Mauperthuis,480,48.77,3.038
77282,Mauregard,358,49.029,2.572
77283,May-en-Multien,904,49.07,3.025
77284,Meaux,55616,48.957,2.9
77285,Le Mée-sur-Seine,20207,48.54,2.629
77286,Meigneux,233,48.514,3.097
77287,Meilleray,502,48.798,3.417
77288,Melun,42367,48.544,2.658
77289,Melz-sur-Seine,347,48.504,3.397
77290,Méry-sur-Marne,696,48.976,3.203
77291,Le Mesnil-Amelot,1016,49.016,2.596
77292,Messy,1213,48.967,2.701
77293,Misy-sur-Yonne,868,48.366,3.095
77294,Mitry-Mory,20627,48.978,2.612
77295,Moisenay,1371,48.565,2.741
77296,Moissy-Cramayel,18248,48.629,2.596
77297,Mondreville,325,48.151,2.598
77298,Mons-en-Montois,443,48.491,3.14
77300,Montceaux-lès-Meaux,624,48.943,2.994
77301,Montceaux-lès-Provins,322,48.696,3.444
77302,Montcourt-Fromonville,1925,48.299,2.712
77303,Montdauphin,234,48.853,3.42
77304,Montenils,26,48.835,3.478
77305,Montereau-Fault-Yonne,22259,48.39,2.962
77306,Montereau-sur-le-Jard,495,48.596,2.672
77307,Montévrain,13934,48.868,2.75
77308,Montgé-en-Goële,720,49.029,2.744
77309,Monthyon,1749,49.01,2.833
77310,Montigny-le-Guesdier,302,48.381,3.25
77311,Montigny-Lencoup,1384,48.454,3.053
77312,Montigny-sur-Loing,2621,48.341,2.751
77313,Montmachoux,244,48.32,2.992
77314,Montolivet,245,48.828,3.432
77315,Montry,3799,48.886,2.823
77316,Moret-Loing-et-Orvanne,12581,48.365,2.812
77317,Mormant,5222,48.598,2.882
77318,Mortcerf,1416,48.783,2.906
77319,Mortery,140,48.592,3.248
77320,Mouroux,5928,48.827,3.051
77321,Mousseaux-lès-Bray,661,48.396,3.23
77322,Moussy-le-Neuf,3270,49.07,2.608
77323,Moussy-le-Vieux,1476,49.048,2.624
77325,Mouy-sur-Seine,362,48.432,3.246
77326,Nandy,6294,48.582,2.548
77327,Nangis,8898,48.555,3.009
77328,Nanteau-sur-Essonne,407,48.32,2.427
77329,Nanteau-sur-Lunain,689,48.254,2.813
77330,Nanteuil-lès-Meaux,6800,48.929,2.899
77331,Nanteuil-sur-Marne,420,48.98,3.222
77332,Nantouillet,294,49.001,2.702
77333,Nemours,13189,48.26,2.711
77335,Chauconin-Neufmontiers,3655,48.972,2.832
77336,Neufmoutiers-en-Brie,1216,48.774,2.826
77337,Noisiel,15461,48.846,2.62
77338,Noisy-Rudignon,595,48.336,2.934
77339,Noisy-sur-École,1822,48.378,2.509
77340,Nonville,601,48.289,2.774
77341,Noyen-sur-Seine,384,48.452,3.342
77342,Obsonville,115,48.217,2.569
77343,Ocquerre,378,49.034,3.06
77344,Oissery,2459,49.07,2.818
77345,Orly-sur-Morin,660,48.901,3.227
77347,Les Ormes-sur-Voulzie,855,48.46,3.225
77348,Ormesson,241,48.244,2.652
77349,Othis,6739,49.083,2.654
77350,Ozoir-la-Ferrière,20692,48.764,2.68
77352,Ozouer-le-Voulgis,1970,48.665,2.777
77353,Paley,462,48.241,2.854
77354,Pamfou,950,48.469,2.864
