code_commune,nom_standard,population,latitude_centre,longitude_centre,p22_log,p22_rp,logements,residences,ratio_collectif,densite,tension_parking,score,pression_urbaine,logement_par_habitant,indice_urbain,departement
93006,Bagnolet,39366,48.869,2.423,991.996435791011,935.983911696011,991.996435791011,935.983911696011,0.9435355591269479,39366,39.68361032326676,15758.58814376472,37143.22082059143,0.02519932011865597,37143.22082059143,93
93006,Bagnolet,39366,48.869,2.423,1055.99641602028,941.175829859873,1055.99641602028,941.175829859873,0.8912680152901182,39366,37.27853561128373,15757.850941087972,35085.65668991079,0.026825088046036685,35085.65668991079,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,268.46757238306,267.330981003865,268.46757238306,267.330981003865,0.9957663736848887,58257,216.99827462542348,23368.198212299736,58010.36163176056,0.004608331571880803,58010.36163176056,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,311.331185725298,293.14572365817,311.331185725298,293.14572365817,0.9415880486731135,58257,187.1222757986181,23359.219159154192,54854.094951549574,0.005344099176498927,54854.094951549574,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,839.498739900451,814.260053812566,839.498739900451,814.260053812566,0.9699360047986756,58257,69.39498206621275,23323.909475421307,56505.56183155644,0.014410263829247146,56505.56183155644,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1312.69866739894,1103.12722692607,1312.69866739894,1103.12722692607,0.8403506869644902,58257,44.37956817266671,23316.365975657893,48956.30997049031,0.02253289162502257,48956.30997049031,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1845.49744201076,1652.93960956307,1845.49744201076,1652.93960956307,0.8956607427004132,58257,31.567098752803545,23312.538827848657,52178.50788749797,0.031678552654801316,52178.50788749797,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,737.498932336136,689.910599294284,737.498932336136,689.910599294284,0.9354733533089885,58257,78.99265672895608,23326.77843902468,54497.87114372174,0.01265940457517785,54497.87114372174,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1193.99822778295,1145.18376896349,1193.99822778295,1145.18376896349,0.9591168079787689,58257,48.79152970618161,23317.72519395425,55875.26788241914,0.020495360691126386,55875.26788241914,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,678.999047012756,615.808048394467,678.999047012756,615.808048394467,0.9069350702386157,58257,85.79835311448612,23328.81158645542,52835.316386891034,0.011655235371075682,52835.316386891034,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,708.998956450834,674.327993419156,708.998956450834,674.327993419156,0.9510987107721048,58257,82.16796297081696,23327.73571850448,55408.15759345051,0.012170193392224695,55408.15759345051,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1106.99841540195,1023.94679038927,1106.99841540195,1023.94679038927,0.9249758411058573,58257,52.626091590968485,23318.865320229626,53886.317575303925,0.01900198114221381,53886.317575303925,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1624.99760865373,1545.25707325581,1624.99760865373,1545.25707325581,0.9509288290805652,58257,35.850514295996085,23313.840432937526,55398.260795746486,0.027893602634082255,55398.260795746486,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1815.4974490163,1648.41272234141,1815.4974490163,1648.41272234141,0.9079675233003371,58257,32.088725892490615,23312.699008024738,52895.46400490774,0.03116359319938033,52895.46400490774,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1837.49727870267,1758.46718582662,1837.49727870267,1758.46718582662,0.9569903619493534,58257,31.704536749644195,23312.598458133478,55751.38751608348,0.031541227298052935,55751.38751608348,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1267.99811762827,1216.36430235845,1267.99811762827,1216.36430235845,0.9592792650462301,58257,45.944074514059174,23316.871006133733,55884.732143798225,0.021765592420280307,55884.732143798225,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,709.998962978547,670.109869092647,709.998962978547,670.109869092647,0.9438180955665633,58257,82.05223252102168,23327.69881518498,54984.01079342128,0.01218735882346408,54984.01079342128,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1366.498094119,1231.55568479276,1366.498094119,1231.55568479276,0.9012494712528384,58257,42.632331688365134,23315.86007434789,52504.09044677661,0.02345637595686355,52504.09044677661,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1312.49809508213,1230.93332139181,1312.49809508213,1230.93332139181,0.937855320326986,58257,44.38635013512499,23316.397261636637,54636.637396289225,0.02252944873718403,54636.637396289225,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,791.498820582419,762.124406778303,791.498820582419,762.124406778303,0.9628876088753979,58257,73.60339457882198,23325.169884656312,56094.943430254054,0.013586329893101583,56094.943430254054,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,1552.9977271962,1468.65646189008,1552.9977271962,1468.65646189008,0.9456913143985145,58257,37.51261124198672,23314.337490766917,55093.13890291426,0.026657701687285647,55093.13890291426,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,890.998711204182,832.803212188909,890.998711204182,832.803212188909,0.9346850918149793,58257,65.38393295907898,23322.695585415273,54451.949393865245,0.015294277274905711,54451.949393865245,93
93007,Le Blanc-Mesnil,58257,48.94,2.461,851.99870908362,834.17349128392,851.99870908362,834.17349128392,0.979078351164555,58257,68.3768641652746,23323.606782754934,57038.167503793484,0.014624829790130285,57038.167503793484,93
93008,Bobigny,55056,48.908,2.439,2074.51231173812,1913.57460588005,2074.51231173812,1913.57460588005,0.9224214264974745,55056,26.53924958096373,22030.63850130224,50784.83405724495,0.03768004053578393,50784.83405724495,93
93008,Bobigny,55056,48.908,2.439,1145.50683892369,1062.95232793013,1145.50683892369,1062.95232793013,0.927931891640972,55056,48.06256770298309,22037.097149878387,51088.21822618535,0.020806212564001926,51088.21822618535,93
93008,Bobigny,55056,48.908,2.439,615.003454698571,536.952897433996,615.003454698571,536.952897433996,0.8730892376810638,55056,89.52144834208185,22049.51836127393,48068.80106976865,0.011170507386998166,48068.80106976865,93
93008,Bobigny,55056,48.908,2.439,788.50484463818,752.986824753268,788.50484463818,752.986824753268,0.9549552293477537,55056,69.82328691368214,22043.633472642912,52576.01510696993,0.014321869453614139,52576.01510696993,93
93008,Bobigny,55056,48.908,2.439,1932.01187304477,1845.38988267935,1932.01187304477,1845.38988267935,0.9551648767929632,55056,28.49671928425266,22031.235565248317,52587.55745671339,0.03509175881002561,52587.55745671339,93
93008,Bobigny,55056,48.908,2.439,955.5056233811,874.024379342594,955.5056233811,874.024379342594,0.9147244746188087,55056,57.61975508336816,22039.9603438674,50361.07067461313,0.01735515880886915,50361.07067461313,93
93008,Bobigny,55056,48.908,2.439,577.503332010887,517.883937740105,577.503332010887,517.883937740105,0.8967635492886507,55056,95.33451488200608,22051.26938352939,49372.21396963595,0.010489380485521777,49372.21396963595,93
93008,Bobigny,55056,48.908,2.439,575.003604090096,560.172350697718,575.003604090096,560.172350697718,0.9742066775114436,55056,95.7489650645275,22051.416951522613,53635.922837070044,0.010443977115847429,53635.922837070044,93
93008,Bobigny,55056,48.908,2.439,1333.00803783639,1249.29554551658,1333.00803783639,1249.29554551658,0.9372003094177256,55056,41.30207653463334,22035.071783053216,51598.5002353023,0.024211857705543266,51598.5002353023,93
93008,Bobigny,55056,48.908,2.439,811.505019218929,780.121359776386,811.505019218929,780.121359776386,0.9613265984814862,55056,67.84431235310316,22043.041691685477,52926.7972059967,0.014739629090724517,52926.7972059967,93
93008,Bobigny,55056,48.908,2.439,1559.00981146971,1524.96577642823,1559.00981146971,1524.96577642823,0.9781630399045493,55056,35.3147232268523,22033.28786588003,53853.744324984866,0.028316801283596885,53853.744324984866,93
93008,Bobigny,55056,48.908,2.439,1235.00758351123,1178.68122055992,1235.00758351123,1178.68122055992,0.9543918890026817,55056,44.57948334492909,22036.060162570182,52544.99984093164,0.022431843641224025,52544.99984093164,93
93008,Bobigny,55056,48.908,2.439,1603.50994269517,1545.36173515176,1603.50994269517,1545.36173515176,0.9637369211158898,55056,34.334679526503095,22032.989524934284,53059.49992895643,0.02912507161245223,53059.49992895643,93
93008,Bobigny,55056,48.908,2.439,1642.00998845506,1552.47405091448,1642.00998845506,1552.47405091448,0.9454717461098864,55056,33.52963769227816,22032.74253283152,52053.8924538259,0.029824360441279063,52053.8924538259,93
93008,Bobigny,55056,48.908,2.439,586.503588278738,557.714841238473,586.503588278738,557.714841238473,0.9509146276073881,55056,93.87154844453302,22050.846738921646,52353.55573755236,0.01065285506173238,52353.55573755236,93
93008,Bobigny,55056,48.908,2.439,594.503702605894,575.484350279881,594.503702605894,575.484350279881,0.9680080170356463,55056,92.60833828060699,22050.472903889295,53294.64938591454,0.010798163735213128,53294.64938591454,93
